dist_id,district,adm,charter_status,ed_adm,ed_pct,high_pov_1,high_pov_2,el_adm,swd_total,swd_aut,swd_dd,swd_ed,swd_hi,swd_id,swd_md,swd_ohi,swd_oi,swd_sld,swd_sli,swd_tbi,swd_vi,swd_db,aig_enroll,sq_mi,current_pp,sparsity_23,el_pct,current_total
010,Alamance-Burlington Schools,22080,Traditional,14283.961,0.629,0,1,2303,3170,531,178,57,41,190,75,442,9,993,634,13,7,0,2399,434.2001279494223,10011.95,0,0.10430253623188405,221063856.00000003
020,Alexander County Schools,4241,Traditional,2165.2920000000004,0.49200000000000005,0,1,105,802,71,66,10,8,45,20,132,2,235,211,2,0,0,414,263.69992953547614,11461.09,1,0.024758311718934212,48606482.69
030,Alleghany County Schools,1313,Traditional,969.5000000000001,0.7000000000000001,0,1,75,223,19,21,2,0,9,1,13,0,89,66,2,1,0,103,235.80349708576188,13534.880000000001,1,0.05712109672505712,17771297.44
040,Anson County Schools,2882,Traditional,2217.039,0.7590000000000001,0,1,83,468,62,45,8,0,53,4,54,1,163,77,1,0,0,287,537.1341566570801,12679.380000000001,1,0.02879944482997918,36541973.160000004
050,Ashe County Schools,2610,Traditional,1493.2079999999999,0.5579999999999999,0,1,129,449,35,43,9,1,30,5,53,0,133,139,1,0,0,430,428.1702008144923,12193.7,1,0.04942528735632184,31825557.000000004
060,Avery County Schools,1761,Traditional,989.7500000000001,0.535,0,1,151,351,30,32,9,2,17,8,49,1,122,80,1,0,0,148,247.4916387959866,13170.13,1,0.085746734809767175,23192598.93
070,Beaufort County Schools,5575,Traditional,3743.496,0.654,0,1,416,875,112,81,25,4,103,19,90,1,296,137,3,4,0,877,837.985282923116,11761.869999999999,1,0.07461883408071748,65572425.24999999
080,Bertie County Schools,1662,Traditional,1462.7250000000001,0.8250000000000001,1,0,15,293,29,30,2,1,53,1,19,2,89,64,2,1,0,46,707.7859660365267,14123.6,1,0.009025270758122744,23473423.2
090,Bladen County Schools,3794,Traditional,2901.08,0.728,0,1,334,642,50,58,8,1,95,13,102,0,216,95,3,1,0,565,887.5968992248062,12042.41,1,0.08803373748023194,45688903.54
100,Brunswick County Schools,13060,Traditional,7405.6320000000005,0.559,0,1,720,2102,289,214,71,16,118,45,454,1,650,229,7,8,0,1650,860.172981878089,11140.72,1,0.055130168453292494,145497803.2
110,Buncombe County Schools,21884,Traditional,10454.787,0.47100000000000003,0,1,1875,3060,333,332,54,13,216,66,519,9,1017,479,13,9,0,2758,637.6956018206793,11506.460000000001,0,0.08567903491135076,251807370.64000002
111,Asheville City Schools,3859,Traditional,1767.1200000000001,0.444,0,1,105,564,65,43,20,15,32,11,75,2,211,87,1,2,0,1100,22.29999145208896,16185.16,0,0.027209121534076185,62458532.44
120,Burke County Schools,11183,Traditional,6370.816000000001,0.541,0,1,1159,1911,217,210,44,16,135,26,270,10,568,407,4,4,0,1961,514.1896153037628,10462.230000000001,1,0.10363945274076723,116999118.09000002
130,Cabarrus County Schools,34919,Traditional,15537.088,0.439,0,1,2526,4232,717,402,140,19,258,58,583,14,1239,748,44,10,0,5032,350.80149272719564,9927.55,0,0.07233884131847991,346660118.45
132,Kannapolis City Schools,5314,Traditional,3703.7139999999995,0.6859999999999999,0,1,677,765,136,71,19,13,71,17,95,1,228,110,2,1,1,620,18.60002839698992,9317.23,0,0.12739932254422281,49511760.22
140,Caldwell County Schools,10303,Traditional,5851.791,0.549,0,1,454,1690,185,186,28,10,116,23,265,8,443,418,4,4,0,1459,474.5977293147104,10286.53,1,0.04406483548481025,105982118.59
150,Camden County Schools,1902,Traditional,512.19,0.27,0,0,9,258,41,20,3,1,5,9,40,0,63,76,0,0,0,205,240.49828397101817,12719.04,1,0.00473186119873817,24191614.080000002
160,Carteret County Public Schools,7814,Traditional,3639.411,0.459,0,1,215,1070,160,70,27,10,64,20,219,1,357,134,5,3,0,1134,513.6133191462727,11466.369999999999,1,0.027514717174302535,89598215.17999999
170,Caswell County Schools,2050,Traditional,1425.085,0.677,0,1,19,368,55,27,4,3,31,2,40,3,134,67,0,2,0,225,428.66824805150793,11941.470000000001,1,0.009268292682926829,24480013.500000004
180,Catawba County Schools,15602,Traditional,9313.884000000002,0.5860000000000001,0,1,1288,2119,240,158,42,12,163,15,299,3,605,565,9,8,0,1314,368,9861.93,0,0.08255351877964363,153865831.86
181,Hickory City Schools,3651,Traditional,2320.92,0.614,0,1,491,547,72,65,11,3,28,8,100,0,187,68,2,3,0,338,27.199947930226507,9834.77,0,0.13448370309504246,35906745.27
